OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,ENERGYSTARScore,SourceEUIWN(GJ/m2),SteamUse(GJ),Electricity(kWh),NaturalGas(GJ),SiteEnergyUseWN(GJ),TotalGHGEmissions(MetricTonsCO2e)
720,NonResidential,Warehouse,98103.0,1951,1.0,4,13924.400538240001,0.0,Non-Refrigerated Warehouse,Office,93.0,416.2183368761517,0.0,308291.5,1620154.35624,3314946.9539425,88.89
722,NonResidential,Warehouse,98121.0,1951,1.0,3,9124.936588800001,0.0,Non-Refrigerated Warehouse,,11.0,1670.5516764352706,0.0,1678552.5625,842774.54258,7100123.599284999,82.35
723,NonResidential,Distribution Center,98134.0,1970,1.0,1,7842.8746368,0.0,Distribution Center,Office,53.0,1277.0464368949067,0.0,851522.9375,0.0,3078936.23042,20.255
725,NonResidential,Distribution Center,98134.0,1961,1.0,1,6813.0444384,0.0,Distribution Center,Parking,,1505.3135290298355,0.0,707709.84375,1992062.47871,4795312.849955,117.11000000000001
727,NonResidential,Distribution Center,98134.0,1928,1.0,2,5283.953303040001,0.0,Distribution Center,Office,,949.9771999616041,0.0,356094.59375,829295.6235499999,2229387.47728625,50.215
728,NonResidential,Warehouse,98134.0,1931,1.0,2,5685.666048,0.0,Non-Refrigerated Warehouse,,13.5,1852.2568176233303,0.0,555724.34375,3465115.62198,6045478.237865,187.64499999999998
729,NonResidential,Distribution Center,98134.0,1987,1.0,1,10396.59340032,0.0,Distribution Center,,78.0,519.5631424001065,0.0,394385.15625,590391.5298599999,2188286.29616125,39.1
730,NonResidential,Other,98134.0,1986,3.0,2,5912.72107776,0.0,Other - Public Services,Parking,,3074.7916860417054,0.0,1336697.25,2634353.9925599997,8294811.030979999,164.4
731,NonResidential,Mixed Use Property,98134.0,1930,3.0,2,10103.48430912,1752.1513344000002,Non-Refrigerated Warehouse,Multifamily Housing,,1209.4748636357108,0.0,1069763.125,0.0,3890592.9652425,25.445
732,NonResidential,Supermarket / Grocery Store,98117.0,1970,1.0,1,13182.0123456,3302.2385568000004,Supermarket/Grocery Store,Parking,93.0,2443.9340797043237,0.0,3861917.75,4020464.9165299996,18602088.87354,294.245
734,NonResidential,Small- and Mid-Sized Office,98107.0,2001,1.0,4,8555.62675968,1956.0735072000002,Office,,5.5,2416.6783431636572,0.0,1391568.0,0.0,5009457.05933,33.099999999999994
735,NonResidential,Warehouse,98199.0,1974,0.0,3,5226.632127360001,0.0,Non-Refrigerated Warehouse,Retail Store,,926.6962200591067,0.0,242667.14844999998,1527117.58285,2873406.585945,82.64500000000001
738,NonResidential,Other,98105.0,2006,1.0,6,13325.91915456,0.0,Other,Parking,,5143.391187392071,0.0,3996599.75,12500903.203909999,27201555.86494,724.34
739,NonResidential,Large Office,98103.0,2008,1.0,4,18824.29267392,8254.899619200001,Office,Parking,73.5,2822.107956474373,0.0,2588047.75,0.0,9316621.870140001,61.56
740,NonResidential,Small- and Mid-Sized Office,98103.0,2000,1.0,2,7169.699208960001,2396.898432,Office,,17.0,4028.1758487128077,0.0,2491098.4375,625812.0041799999,9656707.800420001,90.75500000000001
741,NonResidential,Large Office,98109.0,1998,1.0,5,10268.01559296,0.0,Office,Other,52.5,2426.899291993028,0.0,2141248.375,0.0,7708205.056399999,50.935
742,NonResidential,Mixed Use Property,98109.0,2008,1.0,5,26683.982760960003,9629.400096000001,Parking,Office,,4350.702543596701,0.0,5005531.5,3627606.46764,22018490.265199997,301.67
743,NonResidential,Laboratory,98102.0,1999,1.0,4,10753.34107392,1707.7436812800001,Laboratory,,,8486.765889165003,0.0,5095210.5,20543913.61529,38373148.35504,1155.345
744,NonResidential,Large Office,98119.0,2000,1.0,7,22470.9228,7867.86555456,Office,Parking,88.5,1820.4583832778774,0.0,2421514.75,158117.62196,8916056.20795,65.56
745,NonResidential,Large Office,98109.0,1974,1.0,5,9562.509907200001,1739.1449088000002,Office,Parking,84.5,1742.098023537841,0.0,1189733.25,679899.12755,5127705.810245,62.525000000000006
748,NonResidential,Small- and Mid-Sized Office,98121.0,1902,1.0,3,7143.59345472,0.0,Office,Parking,,3249.115021231458,0.0,2423937.75,4049255.92134,13010887.556109998,261.49
749,NonResidential,Large Office,98121.0,1975,1.0,8,13935.456,2195.2988352,Office,Parking,65.0,2437.1202237875423,0.0,2423945.25,997452.6689399999,9983545.34228,107.86500000000001
750,NonResidential,Large Office,98101.0,1953,1.0,7,25489.06386048,0.0,Office,,82.0,2090.744850070202,0.0,4641282.0,743283.43964,17485175.98104,147.82
751,NonResidential,Large Office,98121.0,1983,1.0,15,35117.53492608,10802.7654912,Office,Parking,84.5,2127.653602961399,0.0,4416624.0,2734851.6227399996,19450711.6137,242.72000000000003
752,NonResidential,Large Office,98121.0,1963,1.0,11,15702.471820800001,0.0,Office,Bar/Nightclub,86.5,1697.8073953732514,2961455.9588325,1945287.625,1425841.31839,12061748.19469,334.70500000000004
753,NonResidential,Other,98121.0,1981,1.0,33,39893.0298912,0.0,Data Center,Office,84.5,23225.891843797574,0.0,81952960.0,159478.12183000002,295202175.47455996,1957.3899999999999
754,NonResidential,Large Office,98101.0,1981,1.0,19,35629.7093856,8340.64912512,Office,Parking,90.5,1710.2996590353018,0.0,4605932.0,0.0,16765086.980439998,109.56
755,NonResidential,Medical Office,98101.0,1925,1.0,18,33810.574959360005,2682.1107648,Medical Office,Parking,67.5,2236.6767569493204,6564067.659425,4816647.5,12117.364099999999,25172425.435719997,595.405
756,NonResidential,Retail Store,98101.0,1929,1.0,4,7331.907916800001,0.0,Retail Store,,73.5,3763.567771495238,0.0,2369420.375,1397193.80174,9716784.763175,126.69
757,NonResidential,Large Office,98121.0,1979,1.0,7,12183.583374720001,8097.428966400001,Office,Retail Store,93.5,718.870964825263,0.0,1488779.125,1073209.66965,,89.435
758,NonResidential,Other,98101.0,1999,1.0,0,88070.87418048001,0.0,Other - Mall,Other - Entertainment/Public Assembly,,2224.752287783769,0.0,13870775.5,0.0,49144441.585599996,329.94
759,NonResidential,Mixed Use Property,98122.0,1908,1.0,4,5157.976780800001,0.0,Office,Performing Arts,,1224.8062173207677,0.0,268571.40625,2769469.72393,4092380.5756625,145.8
760,NonResidential,Large Office,98101.0,1908,1.0,10,12355.918513920002,0.0,Office,Retail Store,92.0,943.1632397914976,1685083.0783462499,848219.15625,0.0,5154047.0976174995,143.46
761,NonResidential,Retail Store,98101.0,1940,1.0,3,7721.91487872,0.0,Retail Store,,55.0,1922.0996790272632,0.0,681922.34375,228763.3845,2768305.201455,27.740000000000002
762,NonResidential,Retail Store,98101.0,1924,1.0,3,7205.0952672,0.0,Retail Store,,39.0,3792.526993734543,0.0,2276879.25,173420.21219999998,8369877.758685,62.89
763,NonResidential,Small- and Mid-Sized Office,98121.0,1909,1.0,6,4758.30790272,0.0,Office,Restaurant,61.0,1891.4369194169208,0.0,807655.3125,0.0,2907450.734495,19.21
764,NonResidential,Large Office,98101.0,1970,1.0,29,45446.49491328,0.0,Office,Parking,46.5,3129.8710569643354,0.0,9527502.5,1975463.74726,37271449.42774,326.07
765,NonResidential,Large Office,98101.0,1929,1.0,27,20120.10427584,1237.4684928000001,Office,Parking,,1133.9536291240522,3911047.2815799997,1275611.375,67232.11591,9153974.8756,319.86
766,NonResidential,Large Office,98104.0,1921,1.0,13,17574.932592,0.0,Office,Other,13.0,4127.545882437571,0.0,5576666.75,0.0,20075248.050339997,132.65
767,NonResidential,Large Office,98104.0,1998,1.0,13,27295.19186112,6919.5113222400005,Office,Parking,25.0,4205.338430646252,0.0,4999851.0,0.0,18100773.94936,118.93
768,NonResidential,Large Office,98101.0,1910,1.0,7,11367.24436224,0.0,Office,Retail Store,80.0,1761.972058560656,0.0,1597790.3125,158240.00892,5957974.726644999,45.97
769,NonResidential,Small- and Mid-Sized Office,98104.0,1921,1.0,3,4858.64318592,0.0,Office,,88.5,1429.7923382409767,0.0,580217.34375,0.0,2125679.7611149997,13.8
771,NonResidential,Large Office,98101.0,1911,1.0,17,10836.2105856,0.0,Office,Financial Office,63.5,2175.351237160807,1785576.4882862498,1490519.4375,0.0,7468516.261835,166.085
772,NonResidential,Large Office,98104.0,1981,1.0,42,116041.00662720001,18684.75230784,Office,Parking,94.0,705.8109254050564,0.0,11408984.0,0.0,20847122.560919996,271.38
773,NonResidential,Small- and Mid-Sized Office,98104.0,1924,,4,5866.826976,0.0,,,,,,,,,
774,NonResidential,Large Office,98104.0,1970,1.0,22,21140.64417024,9156.15201024,Office,Parking,84.5,1931.1849536893515,0.0,2446569.875,0.0,9416827.77623,58.195
775,NonResidential,Large Office,98104.0,1985,1.0,76,181367.17274880002,29673.230976000003,Office,Parking,85.0,1905.6326682097806,0.0,26172769.0,4692235.861839999,98011220.92087999,858.76
776,NonResidential,Medical Office,98104.0,1988,1.0,5,17497.265650560003,9226.57251456,Medical Office,Parking,16.0,3556.310344827607,0.0,2316909.75,709235.07085,9164035.92776,90.81
777,NonResidential,University,98122.0,1916,1.0,2,5585.5165708800005,0.0,College/University,Parking,,407.1330732867202,0.0,167901.5,51434.175,757876.1393531249,6.58
778,NonResidential,Small- and Mid-Sized Office,98104.0,1910,1.0,6,8825.7888,1272.7716480000001,Office,Parking,83.5,1766.514669487672,0.0,1151569.125,159806.24549,4522152.013125,35.435
779,NonResidential,Large Office,98104.0,1971,1.0,9,20889.89886528,0.0,Office,,76.0,2248.033258998489,4313059.43103,3243428.375,0.0,17074250.15718,392.69
780,NonResidential,Large Office,98104.0,1998,1.0,8,41459.00353344,11593.184555520002,Office,Parking,96.5,1428.6566640736944,0.0,4031537.0,0.0,14512989.66636,95.89500000000001
782,NonResidential,Other,98104.0,1939,1.0,2,5434.084615680001,0.0,Other,,,669.469875249262,0.0,217427.5,990550.9939499999,1908013.0361062498,55.035
783,NonResidential,Small- and Mid-Sized Office,98134.0,1907,1.0,6,5794.362604800001,0.0,Office,Restaurant,30.0,2704.5674784737184,0.0,1273183.25,0.0,4790793.236679999,30.285
784,NonResidential,Warehouse,98134.0,1960,1.0,1,6809.42121984,0.0,Non-Refrigerated Warehouse,Parking,82.5,768.8398613332083,0.0,333860.5,1236319.308,2896221.46715,70.175
785,Nonresidential COS,Other,98134.0,1944,1.0,4,9208.73513088,0.0,Other,Office,,4773.166927583855,0.0,3724477.0,1796992.43531,15306610.0186,179.05
786,NonResidential,Other,98134.0,1985,1.0,1,6143.95674432,0.0,Other,Office,,2543.8719419952995,0.0,1528224.8125,735361.5216299999,6380066.51425,73.37
787,NonResidential,Warehouse,98134.0,1952,1.0,2,10745.90883072,0.0,Non-Refrigerated Warehouse,Office,,708.6500506334345,0.0,496494.04689999996,1677443.0591799999,3629996.9698349996,96.25
790,NonResidential,Other,19584,1969,1,1.0,5032.65057984,0.0,,,,473.5690242213817,0.0,92058.0,732786.6477,1380848.81222,39.08
791,NonResidential,Other,98108.0,1970,1.0,1,13163.06012544,0.0,Other,,,1595.0304600941258,0.0,1974759.3125,0.0,7195803.56174,46.97
792,NonResidential,Small- and Mid-Sized Office,98134.0,1950,1.0,1,8696.653574400001,0.0,Office,Data Center,94.5,1709.7317952637177,0.0,1173570.375,2284408.52658,7072857.4199399995,142.91
793,NonResidential,Large Office,98108.0,1973,1.0,2,14510.34001152,0.0,Office,Parking,70.5,1687.0186526152102,0.0,1839373.875,277424.86182,7267887.898589999,57.715
794,NonResidential,Warehouse,98108.0,1966,1.0,1,10741.449484800001,0.0,Non-Refrigerated Warehouse,,12.5,1174.8372858913658,0.0,549347.15625,0.0,1977575.5817324999,13.07
796,NonResidential,Large Office,98108.0,1975,1.0,5,22124.673169920003,0.0,Office,Parking,60.0,1693.8326130124483,0.0,3243352.5,0.0,12097484.65948,77.14500000000001
797,NonResidential,Distribution Center,98108.0,1969,1.0,1,6662.820222720001,0.0,Distribution Center,,,53.94371325076821,0.0,35984.300780000005,0.0,129538.31330365699,0.855
798,NonResidential,Warehouse,98108.0,1969,1.0,1,5151.473568,0.0,Non-Refrigerated Warehouse,Office,29.5,1990.8069185041413,0.0,657438.75,2166457.03882,5169349.819739999,124.695
799,NonResidential,Distribution Center,98108.0,1979,1.0,1,5098.5188352000005,0.0,Distribution Center,,33.5,1164.0485431333248,0.0,356212.59375,1497169.17722,3112156.640875,83.84
800,NonResidential,Retail Store,98126.0,1992,1.0,1,9522.5616,0.0,Retail Store,Parking,80.5,2119.1362091057513,0.0,1471896.875,2418514.0379999997,8289435.2365149995,156.755
801,NonResidential,Other,98105.0,2002,1.0,6,33574.97284992,25353.239616000003,Parking,Retail Store,,3554.606789853884,0.0,2276532.0,1240958.93435,9678793.371399999,116.62
802,NonResidential,Supermarket / Grocery Store,98144.0,1963,1.0,1,4718.0808864,0.0,Supermarket/Grocery Store,,58.0,6990.53734009423,0.0,1283609.6875,3072543.09435,7935585.257239999,185.2
803,NonResidential,Small- and Mid-Sized Office,98106.0,1929,1.0,3,7908.4641830400005,0.0,Office,,50.0,4456.886485478473,0.0,2908093.0,775266.00095,21150885.94058,108.2
804,NonResidential,Other,98125.0,2000,1.0,5,28173.311395200002,1841.3382528000002,Parking,Retail Store,,1298.6239485311028,0.0,3158590.5,709400.18774,12249485.571089998,110.84
805,NonResidential,Distribution Center,98134.0,1986,1.0,1,38237.40481536,0.0,Distribution Center,Non-Refrigerated Warehouse,45.5,867.6420318542159,0.0,2179307.125,7385378.852659999,16070366.89754,423.605
806,NonResidential,Mixed Use Property,98104.0,1902,1.0,4,6811.6508928,0.0,Non-Refrigerated Warehouse,Office,,549.6580520938819,0.0,191654.25,461402.00437999994,1283408.94374375,27.785
807,NonResidential,Large Office,98119.0,2008,1.0,4,22546.26716544,9306.65493504,Office,Parking,74.5,2259.389864960285,0.0,2768385.25,0.0,9965814.00392,65.85
809,NonResidential,Small- and Mid-Sized Office,98104.0,1900,1.0,6,8896.3951104,1471.5841536,Office,,82.0,1889.1656573922983,0.0,1371855.0625,823979.70374,5932521.404145,74.11
811,NonResidential,Warehouse,98134.0,1946,1.0,1,16668.01311552,0.0,Non-Refrigerated Warehouse,,68.0,568.9642233451133,0.0,842646.9375,0.0,2997290.9398499997,20.045
812,NonResidential,Warehouse,98134.0,1917,0.0,1,6065.453675520001,0.0,Non-Refrigerated Warehouse,Other - Services,,313.4413707071523,0.0,180980.0,0.0,651503.3416218751,4.305
813,NonResidential,Warehouse,98106.0,1966,1.0,1,15852.23152128,0.0,Non-Refrigerated Warehouse,Office,97.5,140.25365369678536,0.0,185907.95315000002,0.0,710375.953386875,4.425000000000001
814,NonResidential,Large Office,98109.0,1994,1.0,10,35443.53169344,0.0,Office,Parking,86.0,896.6012714122916,0.0,3245669.875,567431.3141399999,6076179.69257,105.765
815,NonResidential,Large Office,98104.0,2009,1.0,17,38393.48192256,12829.724017920002,Office,Parking,91.0,1606.9548599845923,0.0,3925753.75,0.0,14132183.695379999,93.38
817,NonResidential,Mixed Use Property,98105.0,2009,1.0,6,11371.332096,5044.635072,Office,Parking,57.5,2270.1785730807837,0.0,1205533.8125,1083771.34778,5512918.766845,83.22999999999999
819,NonResidential,Retail Store,98105.0,1956,1.0,2,8714.58386112,0.0,Retail Store,Restaurant,,1860.774176841436,0.0,1250206.25,1652999.95663,6324095.845015,112.945
820,SPS-District K-12,K-12 School,98122.0,1988,1.0,1,4916.800488960001,0.0,K-12 School,,,642.7819369527627,0.0,566378.25,0.0,1006367.39841,13.47
821,NonResidential,Warehouse,98118.0,1966,1.0,2,11427.07392,0.0,Non-Refrigerated Warehouse,Office,51.0,735.9058304994206,0.0,827886.6875,0.0,2980280.735,19.69
822,NonResidential,Warehouse,98136.0,1978,1.0,1,5615.802961920001,0.0,Non-Refrigerated Warehouse,Office,91.5,447.4489144910952,0.0,173364.75,399609.25029999996,1153135.8718325,24.24
828,NonResidential,Hospital,98122.0,1994,7.0,14,164063.98154880002,0.0,Hospital (General Medical & Surgical),Parking,56.5,4260.985526222468,138641847.396,41001952.0,18827250.283200003,310544334.6848,12066.025
829,NonResidential,Other,98121.0,1928,3.0,4,5815.730304000001,0.0,Other,,,1170.2946664469214,0.0,1246403.5,7066119.27925,13417172.17103,385.34000000000003
830,NonResidential,Mixed Use Property,98122.0,2004,1.0,4,7191.810132480001,2007.8205004800002,Other,Office,,2187.843430979944,0.0,786214.15625,51616.17285,2985965.7939275,21.3
831,NonResidential,Medical Office,98122.0,1990,1.0,5,26887.90493376,14786.169137280001,Medical Office,Parking,63.0,2826.6505333316754,0.0,3270562.0,1163314.95883,13113169.82028,136.35500000000002
832,NonResidential,Other,98115.0,1987,1.0,5,8385.98580864,0.0,Financial Office,,30.0,3166.7799137681604,0.0,2254936.625,0.0,8355604.907004999,53.635000000000005
837,NonResidential,Warehouse,98107.0,2004,1.0,4,8113.408289280001,599.9678323200001,Non-Refrigerated Warehouse,,85.5,450.85588588837135,0.0,308202.29689999996,132846.82484,1280574.92070125,14.02
838,NonResidential,Medical Office,19578,1928,1,3.0,7752.57288192,1438.04615616,Medical Office,Office,54.0,2146.3919802839605,0.0,779890.0,4228123.408319999,8039895.874259999,231.39
839,NonResidential,Hotel,98122.0,2003,1.0,6,13986.0881568,4646.73135168,Hotel,Parking,27.0,3007.787984503693,0.0,1659162.5,8339527.11143,14971263.41784,459.265
841,NonResidential,Other,98109.0,1999,1.0,5,13166.033022720001,0.0,Other - Entertainment/Public Assembly,Restaurant,,4058.2707627220802,0.0,4300533.75,4868372.32601,20097177.472439997,347.36
843,NonResidential,Hotel,98109.0,2008,1.0,5,10391.76244224,1976.3263699200002,Hotel,Parking,25.5,2183.8686656539976,0.0,1437333.4375,4753701.54732,9954895.18798,273.485
845,NonResidential,Warehouse,98122.0,1988,1.0,4,12340.124997120001,0.0,Non-Refrigerated Warehouse,,84.0,283.91428526409254,0.0,310312.95314999996,0.0,1117084.66945625,7.385
847,NonResidential,Warehouse,98106.0,1970,1.0,1,6540.374016000001,0.0,Non-Refrigerated Warehouse,Office,1.0,5641.376839960598,0.0,2797056.875,4716242.16955,15097763.00172,303.94
848,NonResidential,Retail Store,98133.0,1995,1.0,1,9460.3165632,0.0,Retail Store,,59.0,2133.8997518272813,0.0,1791934.0,4695956.0034,11849840.97628,279.01
850,SPS-District K-12,K-12 School,98122.0,1988,1.0,3,5142.46197312,0.0,K-12 School,,,566.1250805140498,0.0,432872.54689999996,0.0,927573.93502,10.295
851,NonResidential,University,98144.0,1974,2.0,4,10590.94656,0.0,College/University,,,2117.4327234071134,0.0,1897295.375,864855.89332,7765836.12631,88.66499999999999
854,SPS-District K-12,Other,98124.0,2002,1.0,3,31407.08041152,0.0,Other,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,2033.9619417765339,0.0,5435780.75,2492597.71355,22242302.253119998,254.77
857,NonResidential,Warehouse,98053.0,1965,1.0,1,14155.171689600002,0.0,Non-Refrigerated Warehouse,Office,87.0,236.7845099529423,0.0,285293.25,193453.69147999998,1247590.3820975,16.525
